pl_orbper,pl_mass,pl_rad,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,st_age,ESI
16.1456994,2543,18.647,0.15,4060,1.35,0.85,4.1,0.005,0.04
2.753436,3178.3,13.115,0.15,7400,1.35,0.85,4,0.03,0.2
2.7325321,4417.837,16.141,0.15,3064,0.28,0.11,4.59,0.035,0.02
5800000,3813.94088,14.572,0.68,4841.333333,0.993333333,0.603333333,4.23,0.14,0.14
2.753436,1.032,0.9,0.0015,2960,0.18,0.14,5.12,0.5,0.14
101.11141,1906.98,14.011,0.2263,4465.066667,0.830666667,0.510666667,4.408,0.5,0.01
6.441008,2.25,6.1,0.231,4819,0.77,0.8,4.51,0.52,0.07
1.4013794,603.877,14.572,0,5675,0.96,0.98,4.47,0.6,0.18
2.7325321,467.2101,17.901,0,6700,1.52,1.33,4.2,0.7,0.23
140.43,5.2,2.13,0.45,3728,0.5,0.51,4.76,0.8,0.52
31.393463,4.36,1.91,0.20388,3341,0.32,0.33,4.96,1,0.65
18.4498,5.69,2.37,0.20388,3390,0.31,0.3,4.486181818,1,0.7
16.1456994,4.7,2.17,0.089,4909,0.72,0.8,4.486181818,1.1,0.05
3.05240154,310.51991,13.204,0.195043077,5546,0.89,0.99,4.54,1.2,0.1
76.8,11.209,1951.46642,0.448,5951,1.06,1.13,4.44,1.2,0.03
101.11141,4.13,1.86,0.34,4134,0.56,0.57,4.71,1.3,0.75
1.5089682,390.9309,19.223,0.036,6298,1.23,1.22,4.500647727,1.6,0.21
4.627649,724.6524,13.451,0.066,6583,1.53,1.32,4.1,1.6,0.23
6.212445,69.28694,6.938,0.201144615,4881.355556,0.8,0.89,4.58,1.7,0.1
3.7650007,1398.452,23.203,0,6720,1.93,1.47,4.04,1.88,0.23
62.24,2.54,1.45,0.02,3350,0.9042,0.33,4.69,2,0.6
28.14,3.81,1.77,0.02,3350,0.9042,0.33,4.69,2,0.8
39.026,2.54,1.45,0.03,3350,0.9042,0.33,4.69,2,0.76
138.317,169,6.18,0.0702,6407,1.73,1.53,4.14,2,0.23
9.139703,2.87,16.9,0.18,6146,1.26,1.2,4.3,2.3,0.24
168.811174,3.81,1.78,0.165677908,4886,0.74,0.81,4.61,2.34,0.79
125.4131177,6.77,2.49,0.165677908,4540,0.69,0.74,4.63,2.51,0.69
112.3053,2.36,1.34,0.04,4402,0.6,0.61,4.67,2.9,0.84
54.32031,35,6.56,0.019,6182,1.52,1.28,4.18,3.16,0.14
38.09722,3.18,1.6,0.156751982,3638,0.38,0.4,4.88,3.2,0.83
177.6693,6.04,2.24,0.11,4723,0.71,0.74,4.61,3.2,0.71
86.828989,2.54,1.4,0.154808242,3784,0.51,0.54,4.75,3.72,0.62
56.0560538,5.09,2.11,0.154808242,3722,0.51,0.53,4.75,3.89,0.73
9.4897116,8.3,2.12,0.05,5212,0.73,0.85,4.64,3.9,0.18
129.9441,1.71,1.17,0.04,3755,0.52,0.54,4.74,4,0.61
60.866168,3.81,1.78,0.148533485,4092,0.6,0.63,4.67,4.07,0.8
196.435224,4.93,2.2,0.132980182,5422,0.86,0.9,4.53,4.27,0.7
259.33683,4.16,1.87,0.121345026,5710,0.95,0.97,4.47,4.37,0.76
1.42002504,422.7139,13.227,0,4910,0.8,0.85,4.55,4.5,0.06
197.8,7.09,2.57,0.29,4956,0.8694,0.77,4.47,4.5,0.66
16.141132,2.332,10.4,0.23,5868,1,0.97,4.522275284,4.9,0.14
9.8658,1.4,1.4,0.116,3192,0.2,0.17,4.602305377,5,0.86
154.43,9.44,3.04,0.12,5103,0.76,0.82,4.54,6,0.63
9.4903,7.55,2.247,0.078,5170,0.74,0.77,4.58,6,0.17
384.843,3.31,1.63,0.120139197,5757,1.11,1.04,4.32,6,0.83
1.50897655,340.0781,15.917,0.071,5950,0.857466667,0.763422222,4.25,4.873636364,0.05
1.50897655,92.1707,12.89,0.127387136,5924,1.35,1.08,4.21,5.127070707,0.12
1.5089557,327.35,16.7,0,5950,1.11,0.95,4.25,5.127070707,0.01
6.689,1.74,1.74,0.29,2953,0.16,0.12,4.416064518,7,0.86
13.031,1.64,1.15,0.53,2953,0.16,0.12,4.416064518,7,0.86
267.291,35,1.41,0.143167933,4925,0.64,0.69,4.68,7,0.68
122.3874,36,1.61,0.143167933,4925,0.64,0.69,4.68,7,0.83
289.863876,9.1,2.2,0.72,5596,0.87,0.86,4.506879251,7,0.71
8.457463,25.3,1.367,0.365267173,2850,0.16,0.12,5.13,7.2,0.89
140.2524,5.34,2.17,0.163485779,4807,0.69,0.72,4.62,7.7,0.74
1.5089686,327.3649,17.385,0.214507677,5950,1.13,0.95,4.31,7.8,0.15
4.91,1.05,1.02,0,2904,0.11,0.09,4.31,8,0.95
11.409,1.11,1.04,0,2904,0.11,0.09,4.31,8,0.68
2.3114243,492.62,12.464,0,5600,1.01,0.93,4.4,8,0.16
10.30375,4.3,1.97,0,5680,1.1,0.95,4.3,8,0.25
13.02502,13.5,3.15,0,5680,1.1,0.95,4.3,8,0.17
13.0241,2.9,2.87,0.026,5663,1.06,0.96,4.37,8.5,0.23
10.3039,1.9,1.8,0.045,5663,1.06,0.96,4.37,8.5,0.22
