pl_name,discoverymethod,pl_orbper,pl_mass,pl_rad,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,st_age,ESI
Teegarden's Star b,Radial Velocity,4.91,1.05,1.02,0,2904,0.11,0.09,,8,0.95
Teegarden's Star c,Radial Velocity,11.409,1.11,1.04,0,2904,0.11,0.09,,8,0.68
WASP-93 b,Transit,2.7325321,467.2101,17.901,0,6700,1.52,1.33,4.2,0.7,0.16
XO-6 b,Transit,3.7650007,1398.452,23.203,0,6720,1.93,1.47,4.04,1.88,0.25
WASP-135 b,Transit,1.4013794,603.877,14.572,0,5675,0.96,0.98,4.47,0.6,0.17
WASP-65 b,Transit,2.3114243,492.62,12.464,0,5600,1.01,0.93,4.4,8,0.04
WASP-41 b,Transit,3.0524,270.1555,12.33,0,5545,0.83,0.81,4.53,,0.17
WASP-41 b,Transit,3.052401,292.391,13.451,0,5450,0.9,0.93,,,0.21
Kepler-11 b,Transit,10.30375,4.3,1.97,0,5680,1.1,0.95,4.3,8,0.09
Kepler-11 c,Transit,13.02502,13.5,3.15,0,5680,1.1,0.95,4.3,8,0.22
Qatar-1 b,Transit,1.42002504,422.7139,13.227,0,4910,0.8,0.85,4.55,4.5,0.21
CoRoT-1 b,Transit,1.5089557,327.35,16.7,0,5950,1.11,0.95,4.25,,0.21
LP 791-18 d,Transit,2.753436,1.032,0.9,0.0015,2960,0.18,0.14,5.12,0.5,0.2
Qatar-1 b,Transit,1.42002504,419.85343,13.227,0.012,4910,0.8,0.85,,11.6,0.14
WASP-65 b,Transit,2.3114243,489.4582,12.464,0.016,5600,1.01,0.93,,8.8,0.14
KOI-94 e,Transit,54.32031,35,6.56,0.019,6182,1.52,1.28,4.18,3.16,0.07
Proxima Cen b,Radial Velocity,11.1868,1.08,1.27,0.02,2900,0.14,0.12,,,0.87
GJ 667 C e,Radial Velocity,62.24,2.54,1.45,0.02,3350,,0.33,4.69,2,0.6
GJ 667 C c,Radial Velocity,28.14,3.81,1.77,0.02,3350,,0.33,4.69,2,0.8
WASP-41 b,Transit,3.052404,298.7602,13.227,0.026,5545,0.87,0.93,4.53,,0.15
Kepler-11 c,Transit,13.0241,2.9,2.87,0.026,5663,1.06,0.96,4.37,8.5,0.21
GJ 667 C f,Radial Velocity,39.026,2.54,1.45,0.03,3350,,0.33,4.69,2,0.76
CoRoT-1 b,Transit,1.5089682,390.9309,19.223,0.036,6298,1.23,1.22,,1.6,0.05
Kepler-442 b,Transit,112.3053,2.36,1.34,0.04,4402,0.6,0.61,4.67,2.9,0.84
Kepler-186 f,Transit,129.9441,1.71,1.17,0.04,3755,0.52,0.54,4.74,4,0.61
TOI-700 d,Transit,37.42396,1.57,1.073,0.042,3459,0.42,0.41,4.81,,0.93
Kepler-11 b,Transit,10.3039,1.9,1.8,0.045,5663,1.06,0.96,4.37,8.5,0.08
CoRoT-28 b,Transit,5.20851,153.82972,10.705,0.047,5150,1.78,1.01,3.6,12,0.16
WASP-21 b,Transit,4.3225126,94.39551,11.994,0.048,5800,1.06,1.01,,12,0.2
HD 97658 b,Radial Velocity,9.4897116,8.3,2.12,0.05,5212,0.73,0.85,4.64,3.9,0.12
WASP-6 b,Transit,3.36101,117.5971,11.545,0.05,5450,0.73,0.55,4.6,,0.01
WASP-6 b,Transit,3.36100208,154.14755,13.787,0.054,5375,0.86,0.84,4.49,9,0.23
WASP-6 b,Transit,3.361006,160,13.72,0.054,5450,0.87,0.88,,,0.1
HD 97658 b,Radial Velocity,9.4909,8.88263,2.354,0.06,5175,0.74,0.89,4.49,,0.15
HD 97658 b,Radial Velocity,9.4909,7.86,2.341,0.063,5119,0.7,0.75,4.62,,0.25
HAT-P-14 b,Transit,4.627649,724.6524,13.451,0.066,6583,1.53,1.32,4.1,1.6,0.17
GJ 433 d,Radial Velocity,36.059,5.22,2.14,0.07,,,0.48,,,0.74
WASP-6 b,Transit,3.36100239,153.51189,13.72,0.07,5450,0.87,0.88,,11,0.13
PH1 b,Transit,138.317,169,6.18,0.0702,6407,1.73,1.53,4.14,2,0.03
CoRoT-1 b,Transit,1.50897655,340.0781,15.917,0.071,5950,,,4.25,,0.05
HD 97658 b,Radial Velocity,9.4903,7.55,2.247,0.078,5170,0.74,0.77,4.58,6,0.01
GJ 682 b,Radial Velocity,17.478,4.4,1.94,0.08,3028,,0.27,,,0.57
Kepler-102 e,Transit,16.1456994,4.7,2.17,0.089,4909,0.72,0.8,,1.1,0.15
GJ 180 c,Radial Velocity,24.329,6.4,2.25,0.09,3371,,0.43,,,0.7
LHS 1140 b,Transit,24.73694,6.38,1.635,0.096,2988,0.21,0.19,,,0.62
GJ 163 c,Radial Velocity,25.63058,6.8,2.41,0.099,,,,,,0.69
GJ 273 b,Radial Velocity,18.6498,2.89,1.51,0.1,3382,0.29,0.29,,,0.85
K2-72 e,Transit,24.158868,2.21,1.29,0.11,3360.47,0.33,0.27,,,0.87
Wolf 1061 c,Radial Velocity,17.8719,3.41,1.66,0.11,3342,0.31,0.29,,,0.8
Kepler-443 b,Transit,177.6693,6.04,2.24,0.11,4723,0.71,0.74,4.61,3.2,0.71
Ross 128 b,Radial Velocity,9.8658,1.4,1.4,0.116,3192,0.2,0.17,,5,0.86
HD 216520 c,Radial Velocity,154.43,9.44,3.04,0.12,5103,0.76,0.82,4.54,6,0.63
GJ 3293 d,Radial Velocity,48.1345,7.6,2.67,0.12,3466,0.4,0.42,,,0.63
WASP-41 b,Transit,3.052401,299.07803,13.451,0.12,5450,0.9,0.93,,9.8,0.1
HAT-P-26 b,Transit,4.234516,18.751,6.333,0.124,5079,0.79,0.82,4.56,9,0.1
GJ 180 d,Radial Velocity,106.3,7.56,2.66,0.14,,,0.43,,,0.48
HR 8799 e,Imaging,,3178.3,13.115,0.15,7400,,,4,0.03,0.22
HIP 38594 b,Radial Velocity,60.722,8.1,2.77,0.17,,,0.61,,,0.65
TOI-1052 b,Transit,9.139703,2.87,16.9,0.18,6146,1.26,1.2,4.3,2.3,0.11
K2-18 b,Transit,32.939623,8.92,2.38,0.2,3457,0.41,0.36,,,0.7
TOI-1221 b,Transit,91.68278,2.91,1112.39942,0.21,5592,1.03,0.93,4.38,10,0.2
EPIC 229004835 b,Transit,16.141132,2.332,10.4,0.23,5868,1,0.97,,4.9,0.01
HD 207496 b,Transit,6.441008,2.25,6.1,0.231,4819,0.77,0.8,4.51,0.52,0.25
GJ 1061 c,Radial Velocity,6.689,1.74,1.74,0.29,2953,0.16,0.12,,7,0.86
HD 40307 g,Radial Velocity,197.8,7.09,2.57,0.29,4956,,0.77,4.47,4.5,0.66
Kepler-296 e,Transit,34.14211,2.96,1.53,0.33,3740,0.48,0.5,4.77,,0.85
Ross 508 b,Radial Velocity,10.77,4,1.83,0.33,3071,0.21,0.18,5.04,,0.77
Kepler-296 f,Transit,63.33627,3.91,1.8,0.33,3740,0.48,0.5,4.77,,0.66
Kepler-440 b,Transit,101.11141,4.13,1.86,0.34,4134,0.56,0.57,4.71,1.3,0.75
GJ 229 A c,Radial Velocity,121.93268,8.57,2.87,0.366,,,0.51,,,0.56
TIC 279401253 b,Transit,76.8,11.209,1951.46642,0.448,5951,1.06,1.13,4.44,1.2,0.04
GJ 514 b,Radial Velocity,140.43,5.2,2.13,0.45,3728,0.5,0.51,4.76,0.8,0.52
TOI-2257 b,Transit,35.189346,5.43,2.2,0.496,3430,0.31,0.33,4.97,,0.72
GJ 1061 d,Radial Velocity,13.031,1.64,1.15,0.53,2953,0.16,0.12,,7,0.86
VHS J125601.92-125723.9 b,Imaging,5800000,3813.94088,14.572,0.68,,,,,0.14,0.25
Kepler-22 b,Transit,289.863876,9.1,2.2,0.72,5596,0.87,0.86,,7,0.71
Kepler-1649 b,Transit,8.689099,1.2,1.017,0.129469737,3240,0.23,0.2,5,,0.92
TRAPPIST-1 d,Transit,4.049219,0.388,0.788,0.131173286,2566,0.12,0.09,5.24,,0.91
LP 890-9 c,Transit,8.457463,25.3,1.367,0.13289925,2850,0.16,0.12,5.13,7.2,0.89
GJ 1002 b,Radial Velocity,10.3465,1.08,1.03,0.134647925,3024,0.14,0.12,5.1,,0.86
TRAPPIST-1 e,Transit,6.101013,0.692,0.92,0.136419608,2566,0.12,0.09,5.24,,0.85
Kepler-62 f,Transit,267.291,35,1.41,0.138214603,4925,0.64,0.69,4.68,7,0.68
TRAPPIST-1 f,Transit,9.20754,1.039,1.045,0.140033216,2566,0.12,0.09,5.24,,0.68
Kepler-1229 b,Transit,86.828989,2.54,1.4,0.141875758,3784,0.51,0.54,4.75,3.72,0.62
GJ 1002 c,Radial Velocity,21.202,1.36,1.1,0.143742545,3024,0.14,0.12,5.1,,0.58
TRAPPIST-1 g,Transit,12.352446,1.321,1.129,0.145633894,2566,0.12,0.09,5.24,,0.58
Kepler-452 b,Transit,384.843,3.31,1.63,0.147550129,5757,1.11,1.04,4.32,6,0.83
Kepler-62 e,Transit,122.3874,36,1.61,0.149491578,4925,0.64,0.69,4.68,7,0.83
Kepler-1652 b,Transit,38.09722,3.18,1.6,0.151458573,3638,0.38,0.4,4.88,3.2,0.83
Kepler-1410 b,Transit,60.866168,3.81,1.78,0.153431712,4092,0.6,0.63,4.67,4.07,0.8
Kepler-1544 b,Transit,168.811174,3.81,1.78,0.155292655,4886,0.74,0.81,4.61,2.34,0.79
Kepler-283 c,Transit,92.743711,3.97,1.82,0.157125454,4351,0.57,,4.72,,0.79
Kepler-1638 b,Transit,259.33683,4.16,1.87,0.158942894,5710,0.95,0.97,4.47,4.37,0.76
Kepler-1653 b,Transit,140.2524,5.34,2.17,0.16077109,4807,0.69,0.72,4.62,7.7,0.74
Kepler-705 b,Transit,56.0560538,5.09,2.11,0.162623341,3722,0.51,0.53,4.75,3.89,0.73
K2-332 b,Transit,17.70632,5.47,2.2,0.164499964,3315,0.28,0.27,4.97,,0.73
Kepler-155 c,Transit,52.661793,5.66,2.24,0.166322332,4508,0.62,,4.68,,0.73
Kepler-1701 b,Transit,169.134,5.56,2.35,0.168168678,5146,0.84,0.87,4.53,,0.71
Kepler-1606 b,Transit,196.435224,4.93,2.2,0.169986687,5422,0.86,0.9,4.53,4.27,0.7
K2-9 b,Transit,18.4498,5.69,2.37,0.17174967,3390,0.31,0.3,,1,0.7
Kepler-1540 b,Transit,125.4131177,6.77,2.49,0.173483218,4540,0.69,0.74,4.63,2.51,0.69
Kepler-174 d,Transit,247.35373,5.43,2.19,0.175239576,4880,0.62,,4.68,,0.68
K2-288 B b,Transit,31.393463,4.36,1.91,0.176992729,3341,0.32,0.33,4.96,1,0.65
GJ 357 d,Radial Velocity,55.661,6.1,2.34,0.178729475,3505,0.34,0.34,4.94,,0.58
HIP 29442 b,Transit,13.63083,3.48,9.6,0.180462758,5289,0.98,0.89,4.39,11.7,0.07
K2-417 b,Transit,6.535,3.31,699.2225,0.182205689,3861,0.58,0.57,4.67,,0.07
2MASS J02192210-3925225 b,Imaging,,4417.837,16.141,0.183945237,3064,0.28,0.11,4.59,0.035,0.1
Kepler-92 c,Transit,26.723,6.1,2.6,0.185707674,,1.7,1.21,4.05,,0.1
PH2 b,Transit,282.525,25426.4,10.088,0.18744067,5629,1,0.94,,,0.24
POTS-1 b,Transit,3.1606296,734.16,10.548,0.189196468,4400,0.59,0.69,4.63,,0.01
Kepler-84 b,Transit,8.726,40,1.95,0.190896422,,1.02,1,,,0.13
Kepler-84 c,Transit,12.883,20.2,2.06,0.19257927,,1.02,1,,,0.15
Kepler-85 c,Transit,12.513,20.9,2.14,0.194244786,,0.87,0.97,,,0.15
WASP-41 b,Transit,3.05240154,310.51991,13.204,0.195879586,5546,0.89,0.99,4.54,1.2,0.23
CoRoT-8 b,Transit,6.212445,69.28694,6.938,0.197535897,,0.8,0.89,4.58,1.7,0.02
GSC 06214-00210 b,Imaging,,4767.45,20.176,0.199211369,4432,0.9,0.69,4.37,,0.03
Kepler-11 b,Transit,10.304,4.3,1.71,0.200898361,,1.05,0.92,,,0.17
Kepler-11 c,Transit,13.025,5.9,2.73,0.202515444,,1.05,0.92,,,0.21
Qatar-1 b,Transit,1.42002406,405.23325,12.733,0.20412749,,0.78,0.8,4.56,9.8,0.19
Ross 458 c,Imaging,,1906.98,14.011,0.205642325,,,,,0.5,0.11
WASP-21 b,Transit,,92.1707,12.89,0.207163934,5924,1.35,1.08,4.21,,0.08
1RXS J160929.1-210524 b,Imaging,,2543,18.647,0.208626618,4060,1.35,0.85,,0.005,0.2
CoRoT-1 b,Transit,1.5089686,327.3649,17.385,0.210069073,5950,1.13,0.95,4.31,7.8,0.18

